ID,MEDV
TEST_000,24.81593503133789
TEST_001,34.30053901153177
TEST_002,19.545297491526814
TEST_003,24.37154711174905
TEST_004,25.765768847086118
TEST_005,31.10963435718782
TEST_006,16.607458822593024
TEST_007,13.644982929434198
TEST_008,25.177761103229003
TEST_009,22.55181007484419
TEST_010,11.399314330594938
TEST_011,27.477203233455832
TEST_012,30.439072147259015
TEST_013,21.48706148112038
TEST_014,37.21424727595597
TEST_015,15.241912886612855
TEST_016,20.329376106647594
TEST_017,29.8590177351651
TEST_018,20.3549690157433
TEST_019,31.022688348556358
TEST_020,19.52288195838627
TEST_021,13.608861462474305
TEST_022,25.461612023095192
TEST_023,33.52117377179288
TEST_024,19.840135004913453
TEST_025,24.75569507100305
TEST_026,20.18207428352218
TEST_027,19.265414827353936
TEST_028,24.352675117806086
TEST_029,17.823595670881545
TEST_030,3.2937602712089813
TEST_031,32.178421847767666
TEST_032,37.09012409342885
TEST_033,21.171156518421846
TEST_034,25.464369941555876
TEST_035,20.6806494965011
TEST_036,16.869376751223022
TEST_037,24.65382925812561
TEST_038,20.201825020630988
TEST_039,27.350443013287734
TEST_040,18.487568813819667
TEST_041,18.009705639928512
TEST_042,13.672327130666167
TEST_043,0.7488451551798327
TEST_044,21.78825508733296
TEST_045,19.658368450230405
TEST_046,10.137469799842556
TEST_047,40.944568739727245
TEST_048,24.459107101543403
TEST_049,16.802996068875622
TEST_050,33.06382786031202
